x,y,marker
625410.20531,5036580.20531,0
625380,5036638.82008,0
625418.80246,5036774.4323,0
625308.66772,5036839.81039,0
625155.5677,5036798.80246,0
625049.79469,5036660.20531,0
624953.79333,5036647.61287,0
624949.79469,5036590.20531,0
624894.12215,5036607.69176,0
624889.79469,5036500.20531,0
624701.50992,5036334.93934,0
624719.79469,5036270.20531,0
624461.50992,5036054.93934,0
624409.79469,5035810.20531,0
624053.58226,5035617.51421,0
624099.96441,5035559.27234,0
624069.79469,5035520.20531,0
623819.27234,5035380.03559,0
623780.74489,5035409.48436,0
623348.66772,5035359.81039,0
623158.82008,5035250,0
622730.20531,5035350.20531,0
622561.45674,5035499.76928,0
622380.72766,5035470.03559,0
621750.20531,5035670.20531,0
621310.20531,5035850.20531,0
621284.03841,5035909.02419,0
621240.72766,5035880.03559,0
620820.20531,5036050.20531,0
620623.09017,5036319.11215,0
620659.79469,5036200.20531,0
620552.2194,5036289.25107,0
620500.20531,5036260.20531,0
620460,5036321.17992,0
620489.11215,5036483.09017,0
620370.20531,5036600.20531,0
620358.49008,5036704.93934,0
620240.03559,5036890.72766,0
620260.20531,5037069.79469,0
620331.33241,5037125.11666,0
620290,5037191.17992,0
620320,5037809.11412,0
620270,5037941.17992,0
620349.707,5038128.35927,0
620328.49008,5038244.93934,0
620284.88334,5038281.33241,0
620219.79469,5038220.20531,0
620110.72766,5038220.03559,0
619884.03841,5038369.02419,0
619739.29196,5038400,0
619468.66772,5038389.81039,0
619009.27234,5038250.03559,0
618880.20531,5038290.20531,0
618610.20531,5038520.20531,0
618150.20531,5039070.20531,0
618179.76928,5039181.45674,0
618070.20531,5039370.20531,0
618040.03559,5039550.72766,0
